id,title,artists,pp_artist,k7_cluster_label
6vYRwtuNmaQJg7SlcrMdPs,Your Light,['The Big Moon'],The Big Moon,0
7HKW2F9UqwMVPdByorotm1,Inside Out,['Spoon'],Spoon,4
62aOYUWnWQtWvWLAvvWBZi,Masterpiece,['Big Thief'],Big Thief,6
7j24QT8Ic9jezjH0s4Lg5B,Dark Days,['Local Natives'],Local Natives,6
3j1lR8feIfHfXrlHkGeNRf,She's a Witch,['Gengahr'],Gengahr,6
0LtOwyZoSNZKJWHqjzADpW,Feels Like We Only Go Backwards,['Tame Impala'],Tame Impala,4
5jZoYp0P8ML7AxkS3tQz3j,Seventeen,['Sharon Van Etten'],Sharon Van Etten,4
0rUIff1QHd5zlOBtlHVqd9,Red Eyes,['The War On Drugs'],The War On Drugs,4
1LPGwuFgIzbJoShfDdw7MY,Youth,['Glass Animals'],Glass Animals,6
5C5Fle0gDOcUchmj4RgVH5,Shelter,['Broken Bells'],Broken Bells,4
53PkA8aXiwH4ppa0V0iO7o,oh baby,['LCD Soundsystem'],LCD Soundsystem,2
73M2Vb5MfZh8iGKudkMtlw,Always Like This,['Bombay Bicycle Club'],Bombay Bicycle Club,6
28vrTDD6sZFswb8wDPP8CY,"I Love You, Honeybear",['Father John Misty'],Father John Misty,3
6bgf38cX2VkbrYVPjEv4Yq,Depreston,['Courtney Barnett'],Courtney Barnett,1
5VdaMUzoQetwxQwtWAd022,Salad Days,['Mac DeMarco'],Mac DeMarco,4
2T7Q6J4dcz2gwOPzqwogsT,Baby Blu,['Nilüfer Yanya'],Nilüfer Yanya,6
66tkDkPsznE5zIHNt4QkXB,Tieduprightnow,['Parcels'],Parcels,6
0RstfX9nRY1Lfuy1808MoT,"Hey, Ma",['Bon Iver'],Bon Iver,1
5rQEom98vgByjAZ4kIw2kL,Road Head,['Japanese Breakfast'],Japanese Breakfast,6
1yYlpGuBiRRf33e1gY61bN,Night Shift,['Lucy Dacus'],Lucy Dacus,1
3EEr6l5PYelwkrvvKX7N0X,Shut Up Kiss Me,['Angel Olsen'],Angel Olsen,4
39exKIvycQDgs4T6uXdyu0,Harmony Hall,['Vampire Weekend'],Vampire Weekend,6
5M4yti0QxgqJieUYaEXcpw,Eventually,['Tame Impala'],Tame Impala,6
1K9YlxsaqEDqTaGHOdPVRJ,It's Real,['Real Estate'],Real Estate,4
32zkKx35Et6A515oZKxDkD,Life Itself,['Glass Animals'],Glass Animals,2
4cCoZML1dPIQxNjOwDmJGf,Wakin On A Pretty Day,['Kurt Vile'],Kurt Vile,0
1Avnd5xLg7HmaNofmYk7RQ,Withorwithout,['Parcels'],Parcels,1
2X485T9Z5Ly0xyaghN73ed,Let It Happen,['Tame Impala'],Tame Impala,6
4EZ2C0321dYtzKD0zEfsUy,Necessary Evil,['Unknown Mortal Orchestra'],Unknown Mortal Orchestra,6
4HfLQJtVT1KiX1eVedDyTm,Alaska,['Maggie Rogers'],Maggie Rogers,1
4dRqYKhLVujxiBXcq50YzG,This Life,['Vampire Weekend'],Vampire Weekend,4
5eum0L07wuKd7Agse5Lgy1,In a River,['Rostam'],Rostam,1
0ltdhwsyIf2THyokCu2t3x,Like an Animal,['Alfie Templeman'],Alfie Templeman,4
7CH99b2i1TXS5P8UUyWtnM,Them Changes,['Thundercat'],Thundercat,1
3vPqxWHiAurokT5YYtAlym,Heavyweight Champion of the Year,['Nilüfer Yanya'],Nilüfer Yanya,1
68ClfNyV71AjdTfGIyu4Gx,Gooey,['Glass Animals'],Glass Animals,1
5hM5arv9KDbCHS0k9uqwjr,Borderline,['Tame Impala'],Tame Impala,6
2WCCyU7CazujWXYOqNjsLW,Our Love,['Sharon Van Etten'],Sharon Van Etten,0
73uJybGAhwGRD9MZYrOmTY,Death with Dignity,['Sufjan Stevens'],Sufjan Stevens,1
4A0P9Va17VxKrmP3yZNnu4,I Was A Fool,['Sunflower Bean'],Sunflower Bean,2
607EA1HsuzrqqaPuxyNqpD,Step,['Vampire Weekend'],Vampire Weekend,1
2yWiiFMjGoNoOxLKbuTlsF,Super Sad Generation,['Arlo Parks'],Arlo Parks,6
53p7or9OC8PGNnGrd9gLBv,Bubblegum,['Mystery Jets'],Mystery Jets,2
3BpUZB0tw4zNmG3Iw1mclL,Your Dog,['Soccer Mommy'],Soccer Mommy,6
1b8Zlu3aMVxEbyeospYPrK,Helplessness Blues,['Fleet Foxes'],Fleet Foxes,3
2073QOEC8rBtSyTsRyaWiP,I Can Change,['LCD Soundsystem'],LCD Soundsystem,6
4BY4V1T0RJK1HmD2Q0ClyK,Oblivion,['Grimes'],Grimes,0
6zfczP87XO2SxWlQtnjFNa,The Look,['Metronomy'],Metronomy,1
0SVvyfRMFMRJzc0L2odX20,Fill in the Blank,['Car Seat Headrest'],Car Seat Headrest,4
34OYZJDVLJC0HS401190FN,Desire Lines,['Deerhunter'],Deerhunter,2
6dux5viG3Ku3IefPx3gFNT,Dog Days Are Over,['Florence + The Machine'],Florence + The Machine,4
0Cr3j6qhDItBeFbAzdXtN2,VCR,['The xx'],The xx,1
1SN1gifVAKecU85lZggS8k,No Reptiles,['Everything Everything'],Everything Everything,4
4yYvWFUWMaKMXtoJKJnmZk,Shuffle,['Bombay Bicycle Club'],Bombay Bicycle Club,6
61qxP4Vs5DVX0Ic4GnBklu,Every Time the Sun Comes Up,['Sharon Van Etten'],Sharon Van Etten,1
2Y28HmBMyRrCgL0PTbkP7O,What's It All For?,['Yellow Days'],Yellow Days,6
1jy7SkRcmBCTcv4ZMtwz29,Loud Places,"['Jamie xx', 'Romy']",Jamie xx / Romy,0
7fmqJC1yi3tyys0l72F9Ya,I Don't Wanna Be Funny Anymore,['Lucy Dacus'],Lucy Dacus,0
1f36D2fxgU2Mk1TxS7WhjG,Your Girlfriend,['Blossoms'],Blossoms,6
54X78diSLoUDI3joC2bjMz,Purple Rain,['Prince'],Prince,2
1OOtq8tRnDM8kG2gqUPjAj,Beat It,['Michael Jackson'],Michael Jackson,6
2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],Whitney Houston,6
6KIKRz9eSTXdNsGUnomdtW,Straight Outta Compton,['N.W.A.'],N.W.A.,2
1yo16b3u0lptm6Cs7lx4AD,Fight The Power,['Public Enemy'],Public Enemy,5
52IuMfbQa9aqRPz2oYPAI8,Express Yourself,['N.W.A.'],N.W.A.,5
3gxEZXUjrNbl3TlSrTGbR5,Modern Love - 2018 Remaster,['David Bowie'],David Bowie,4
1AHfovSnGPVYKaahRtA0U6,The Message,['Nas'],Nas,5
6aBUnkXuCEQQHAlTokv9or,This Must Be the Place (Naive Melody) - 2005 Remaster,['Talking Heads'],Talking Heads,6
4xiyq1iRdsxuU1BPUJ490Z,Close To Me,['The Cure'],The Cure,4
3VZmChrnVW8JK6ano4gSED,Sexual Healing,['Marvin Gaye'],Marvin Gaye,6
5tVA6TkbaAH9QMITTQRrNv,Free Fallin',['Tom Petty'],Tom Petty,1
7FwBtcecmlpc1sLySPXeGE,Dancing In the Dark,['Bruce Springsteen'],Bruce Springsteen,4
4kOfxxnW1ukZdsNbCKY9br,What's Love Got to Do with It,['Tina Turner'],Tina Turner,1
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,['Tears For Fears'],Tears For Fears,6
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,['The Police'],The Police,1
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,['a-ha'],a-ha,6
1LwP9g1Hjbs64jXM2Qsxry,Just Like Honey,['The Jesus and Mary Chain'],The Jesus and Mary Chain,4
6ADSaE87h8Y3lccZlBJdXH,With Or Without You - Remastered,['U2'],U2,1
0sKfhhj6hYyJIXnTiZV9vf,The Sweetest Taboo,['Sade'],Sade,6
4cOdK2wGLETKBW3PvgPWqT,Never Gonna Give You Up,['Rick Astley'],Rick Astley,6
4czNORk5MjW5WOn98bki32,All Night Long (All Night) - Single Version,['Lionel Richie'],Lionel Richie,6
2374M0fQpWi3dLnB54qaLX,Africa,['TOTO'],TOTO,1
2wSAWEYUHkt92X4SBAPqZE,Karma Chameleon - Remastered 2002,['Culture Club'],Culture Club,6
2dCmGcEOQrMQhMMS8Vj7Ca,Super Freak,['Rick James'],Rick James,6
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,['The Clash'],The Clash,2
7o9uu2GDtVDr9nsR7ZRN73,Time After Time,['Cyndi Lauper'],Cyndi Lauper,1
3MrWxJaD2AT0W9DjWF64Vm,Come On Eileen,['Dexys Midnight Runners'],Dexys Midnight Runners,1
2yzPBlE5UXK2sqvnNM9QQ0,West End Girls - 2001 Remaster,['Pet Shop Boys'],Pet Shop Boys,2
2oSpQ7QtIKTNFfA08Cy0ku,It's The End Of The World As We Know It (And I Feel Fine),['R.E.M.'],R.E.M.,4
2fuCquhmrzHpu5xcA1ci9x,Under Pressure - Remastered 2011,"['Queen', 'David Bowie']",Queen / David Bowie,6
3fH4KjXFYMmljxrcGrbPj9,Don't You (Forget About Me),['Simple Minds'],Simple Minds,6
7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - Remastered,['Pixies'],Pixies,1
0cGG2EouYCEEC3xfa0tDFV,Tainted Love,['Soft Cell'],Soft Cell,1
5kz9GDBTX846OXwqWoyKzF,We Got The Beat,"[""The Go-Go's""]",The Go-Go's,4
6sT9MWlJManry3EQwf4V80,Push It,['Salt-N-Pepa'],Salt-N-Pepa,6
6QG0wcgoCsa9pqFyTg0rRO,Whip It,['DEVO'],DEVO,6
7wuJGgpTNzbUyn26IOY6rj,Total Eclipse of the Heart,['Bonnie Tyler'],Bonnie Tyler,2
20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,['Carly Rae Jepsen'],Carly Rae Jepsen,6
7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,"[""Guns N' Roses""]",Guns N' Roses,4
6JymsaWDHk2Yj4e0yNBIFH,Jump Around,['House Of Pain'],House Of Pain,6
0gueawLShEbZoAfMaADOkP,The Breaks,['Sarah Proctor'],Sarah Proctor,1
029NqmIySn1kOY305AAhxT,Sledgehammer,['Peter Gabriel'],Peter Gabriel,6
5IISDoksKy4dnTauZzAOCc,stable life,['dhruv'],dhruv,1
2cxbxpHrND6i4uvUGVvC9J,Just a Friend 2002 - Radio Edit,['Mario'],Mario,6
0qxYx4F3vm1AOnfux6dDxP,You Can Call Me Al,['Paul Simon'],Paul Simon,6
3gKwVWwKmeuFtPubICbOGc,Paul Revere,['Beastie Boys'],Beastie Boys,5
18AXbzPzBS8Y3AkgSxzJPb,In The Air Tonight - 2015 Remastered,['Phil Collins'],Phil Collins,1
39lSeqnyjZJejRuaREfyLL,Hungry Like the Wolf - 2009 Remaster,['Duran Duran'],Duran Duran,6
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,['Bon Jovi'],Bon Jovi,2
4QlzkaRHtU8gAdwqjWmO8n,Friday I'm In Love,['The Cure'],The Cure,2
2fXKyAyPrEa24c6PJyqznF,Common People,['Pulp'],Pulp,4
5CXokdWISVHIcq4BsKwDvJ,sometimes,['my bloody valentine'],my bloody valentine,0
4c6vZqYHFur11FbWATIJ9P,There She Goes,"[""The La's""]",The La's,6
42cxPm9jgbaxIVN77XA1m6,Tender,['Blur'],Blur,1
5QLHGv0DfpeXLNFo7SFEy1,1979 - Remastered 2012,['The Smashing Pumpkins'],The Smashing Pumpkins,6
5ibELGcXGqX5x9TWFeNPxY,Motorcycle Emptiness,['Manic Street Preachers'],Manic Street Preachers,4
6JvEXmRh3l2acBzvqavgT9,Love Spreads,['The Stone Roses'],The Stone Roses,2
2CdS3DRqWR5LAhy4hM5X9W,Laid,['James'],James,6
5GPPI3rnZDptLYRN4vTUoZ,The Boy With the Arab Strap,['Belle and Sebastian'],Belle and Sebastian,4
4j3obTRIyR7QzvdeQz9vaO,Babies,['Pulp'],Pulp,4
6TlQ5fbojNRuG0hPQMbxeW,Live Forever - Remastered,['Oasis'],Oasis,2
4jLv3tDBu8ww2R07DvL12s,Man On The Moon,['R.E.M.'],R.E.M.,6
5gSHlT2SI0dtjeHrjj96A1,Here's Where the Story Ends,['The Sundays'],The Sundays,6
67ncFJWaIbJdqZl1bpEppz,Movin' on Up,['Primal Scream'],Primal Scream,6
5NTZM8YYeKM2YsGSffVIge,Loser,['Beck'],Beck,4
2ItPID4dgSL1t1ZbZCrg5S,Kinky Afro,['Happy Mondays'],Happy Mondays,6
2aC8wwfrM0YeTAzzk8hxqC,Disco 2000,['Pulp'],Pulp,6
6txWz9UapYHVxEd7dDIHXT,No Rain,['Blind Melon'],Blind Melon,1
3ATIyi8OsM5ciO0CDd2iCs,Slight Return,['The Bluetones'],The Bluetones,6
0qmCWYu7hOvriyuqXfPw7I,The Universal,['Blur'],Blur,3
3m1JFLpKLYgMi1jf6Bu16P,Let Forever Be,['The Chemical Brothers'],The Chemical Brothers,4
5EugXICXL06waHgP4iTI58,Mrs. Robinson - Remastered,['The Lemonheads'],The Lemonheads,6
5bWLIVKl5UrbQ2xEGfAXOK,The Day We Caught The Train,['Ocean Colour Scene'],Ocean Colour Scene,6
1mppNVGh4ipsxIWUUA0QiH,Girl From Mars,['Ash'],Ash,4
0gEyKnHvgkrkBM6fbeHdwK,Linger,['The Cranberries'],The Cranberries,1
3mwvKOyMmG77zZRunnxp9E,Buddy Holly,['Weezer'],Weezer,6
5bVOX6eyHsML2sB4aMlZEi,Malibu,['Hole'],Hole,6
0dgAsKrq63WrtPjReh3jNk,Lazy Line Painter Jane,['Belle and Sebastian'],Belle and Sebastian,4
63OQupATfueTdZMWTxW03A,Karma Police,['Radiohead'],Radiohead,1
4OHVCeQYPncEwZOtNAJZZx,Beetlebum - 2012 Remaster,['Blur'],Blur,6
0txLC5NA64M8siGn3mnET0,Do You Remember The First Time?,['Pulp'],Pulp,4
2EoOZnxNgtmZaD8uUmz2nD,Black Hole Sun,['Soundgarden'],Soundgarden,4
2VmyLy2HQlkevZYboXHM5O,If You Tolerate This Your Children Will Be Next,['Manic Street Preachers'],Manic Street Preachers,4
3soLwFvqNYT90pZHSZhmK2,Dry The Rain (Remaster),['The Beta Band'],The Beta Band,4
1oPg2EYKf2hbS7aDyE8j3S,The Riverboat Song,['Ocean Colour Scene'],Ocean Colour Scene,3
1v2zyAJrChw5JnfafSkwkJ,Shiny Happy People,['R.E.M.'],R.E.M.,4
64SIlhd3BaHCCMSfajXG7l,Grace,['Jeff Buckley'],Jeff Buckley,4
1dyTcli07c77mtQK3ahUZR,Just,['Radiohead'],Radiohead,4
4uPi47C1WcnhIbvCx4zCu6,Novocaine For The Soul,['Eels'],Eels,4
6L4fEE9awoUnSEy1bmQebb,Country House - 2012 Remaster,['Blur'],Blur,4
1RZlGlz8eXT1KmJYpqFRzH,Race for the Prize - 2017 Remaster,['The Flaming Lips'],The Flaming Lips,4
5AMrnF761nziCWUfjBgRUI,Waltz #2 (XO),['Elliott Smith'],Elliott Smith,3
1Cwsd5xI8CajJz795oy4XF,You Get What You Give,['New Radicals'],New Radicals,6
6pmuu4qSz2WrtGkBjUfyuz,Birdhouse in Your Soul,['They Might Be Giants'],They Might Be Giants,2
10CiC7n8xCJJpbNcBpHsXc,Unfinished Sympathy - 2006 Digital Remaster,['Massive Attack'],Massive Attack,2
1KdwPeY1WRWQGHCmRJTveb,Cannonball,['The Breeders'],The Breeders,2
57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony,['The Verve'],The Verve,4
1L94M3KIu7QluZe63g64rv,Alive,['Pearl Jam'],Pearl Jam,2
6Mml8csigEygw1zLU4KpoU,Kelly's Heroes,['Black Grape'],Black Grape,6
1A7pz58VR2Lpc19c58QdSo,Road Rage,['Catatonia'],Catatonia,6
05FgZdqxXg40X0WG8MmWMA,Something Changed,['Pulp'],Pulp,2
407ltk0BtcZI8kgu0HH4Yj,Into My Arms - 2011 Remastered Version,['Nick Cave & The Bad Seeds'],Nick Cave & The Bad Seeds,1
66IC0uXoVyYT5q3R27bbZy,Sit Down,['James'],James,6
0bWKniFVup1UYgoZww89Vp,First of the Gang to Die,['Morrissey'],Morrissey,4
67Hna13dNDkZvBpTXRIaOJ,Teardrop,['Massive Attack'],Massive Attack,0
1UVll7jjUlqSGxCZ6uXVaD,Regret - 2015 Remaster,['New Order'],New Order,4
40MTAe7rupM7DNRrw72Q8i,Goddess on a Hiway,['Mercury Rev'],Mercury Rev,4
6T10XPeC9X5xEaD6tMcK6M,All I Need (feat. Beth Hirsch),"['Air', 'Beth Hirsch']",Air / Beth Hirsch,1
7mEGddVRDdESAibWOnbXoA,A Letter To Elise,['The Cure'],The Cure,4
10hLkl5k0NjO7QAJvoVzIy,The Wild Ones (Remastered),['Suede'],Suede,1
5nD0JrqbevsWiih4GnXRLm,Loaded - Remastered,['Primal Scream'],Primal Scream,4
6joAGL5IuD66Qgcz049ObW,Yes - Full Version,['McAlmont & Butler'],McAlmont & Butler,4
25BbuSP5iUs16O6Lxbb4rS,Wide Open Space,['Mansun'],Mansun,6
15kLz0zNFdtsaJdXKSGmTU,The Drugs Don't Work,['The Verve'],The Verve,1
4IFC2bM8SquqQYOu9tiQ8C,Chasing Rainbows,['Shed Seven'],Shed Seven,4
0uJyE3M3ecGZgzltsQKs3a,A Design for Life - Remastered,['Manic Street Preachers'],Manic Street Preachers,4
5xvVqECUVNTBGbnPEzqn3I,King of the Kerb,['Echobelly'],Echobelly,2
0RxWeRjUUQqGUxOYn5gniE,Beautiful Ones (Remastered),['Suede'],Suede,2
7ziicmUOzWXAkdPriOmFk9,The Only One I Know,['The Charlatans'],The Charlatans,1
1SqY3rqLazvQlDz24GJ1TO,Alright,['Cast'],Cast,4
2dAWHiEg6UlcDgK0IDyiy3,Sparky's Dream,['Teenage Fanclub'],Teenage Fanclub,4
4e23vKHDVQXHvoqzXiYqUm,Getting Away with It,['Electronic'],Electronic,6
6aPUrLTe381i5pgE4jX94f,Twisterella,['Ride'],Ride,4
72TPbqNS18yOlXa5USPSSo,All You Good Good People,['Embrace'],Embrace,4
5J7l2wE9wxqod7xIP0jyAB,She Said,['Longpigs'],Longpigs,4
0w3xM9vQtoAn05Iqf7MyGb,Olympian,['Gene'],Gene,4
5BlmlqySQMeRvRm6YjhwyO,French Disko,['Stereolab'],Stereolab,6
4bQHPFjRT6O1KdMCd4cD9u,Rock 'n' Roll Star - Remastered,['Oasis'],Oasis,2
0vryyKyxCFXT0gg670yNEw,Your Love,['Frankie Knuckles'],Frankie Knuckles,0
7N3FfUFMud1rjI6Vgw71mm,Strings of Life,['Derrick May'],Derrick May,0
040feKzAD1CyH8asrYDfDp,Meet Every Situation Head On (Noise & Mista Luv Mix),['Psychic TV'],Psychic TV,6
46ddej1ibGIgs58H0wakoK,Energy Flash,['Joey Beltram'],Joey Beltram,0
5jqB1gA8c041hLvytgdfe2,Radio Babylon - Version Galore,['Meat Beat Manifesto'],Meat Beat Manifesto,4
02ePVbyZRQs0LQB5XrofKa,You Used to Hold Me,['Ralphi Rosario'],Ralphi Rosario,2
40JBwyos6icQnW7Gyv9OEn,Mystery of Love - Mixed,['Mr. Fingers'],Mr. Fingers,6
1625ER4xx3r4P8kBcOCVPY,Let The Music Use You,['The Nightwriters'],The Nightwriters,6
4ECiSO5OmUy41ifKknjsf4,The House Music Anthem / Move Your Body,['Marshall Jefferson'],Marshall Jefferson,6
4V5Hap0FGupSWoz67VWTwH,151 - Original Mix,['Armando'],Armando,3
60nOSJvQcCm11cj6bWX561,Nervous Acid,"['Bobby Konders', 'The House Rhythms']",Bobby Konders / The House Rhythms,0
51GEHfWZuwIg5XHY50XSyS,I'll House You,['Jungle Brothers'],Jungle Brothers,6
0qD3sHqLrmKDcRX3MKvsFX,Jack Your Body - Original Club Mix,"['Steve ""Silk"" Hurley']","Steve ""Silk"" Hurley",5
6yeq9TXrOcczL1ryPHkbFF,Carino,['T Coy'],T Coy,0
5Oe5EZOuQvbxT05KQzb3RS,"Stakker Humanoid - 12"" Original",['Humanoid'],Humanoid,0
6TeKFnwaPsXI35gaQEoR8z,Can You Party (Club Mix),['Royal House'],Royal House,2
3Nlgbygh5p95y8HnPxYIZy,Washing Machine,['Mr. Fingers'],Mr. Fingers,0
4mk4dIw4updA2XbWQOZCoA,Break 4 Love,['Raze'],Raze,6
20in5yzly6u3AxrIWUOFiA,The Chase - Smooth Mix,['Model 500'],Model 500,0
7MZpzMpifYZ8JjHegxEvZT,In-Ten-Si-T (Justin Robertson Edit),['Mickey Oliver'],Mickey Oliver,2
23HpSrqrULF8mF1WKdZRyl,This is Acid,['Maurice'],Maurice,6
6u4REq4x66khAf6gjYY4k6,ACiD - Pierre's ACiD FACE Mix,['D.J. Pierre'],D.J. Pierre,0
1tG5Tdihl13aTLNZHoIbJJ,"Papua New Guinea - 12"" Original Mix",['The Future Sound Of London'],The Future Sound Of London,0
3iMCVmBE4SLDFuZm4qCDoe,Hot Hands,['Hula'],Hula,3
7nQaBI1NTv5kpPyeMruTTK,No Way Back,['Adonis'],Adonis,0
21gvRGGQ81d7zijU6QlLZX,Lack Of Love,['Charles B.'],Charles B.,0
1nk1DvWxFvjPyDJ9IHYUMA,"Get up, Get Down (Rough Version)",['Curry Gang'],Curry Gang,6
3xvkdpv7lQuJVs11NYrVil,Weekend (Weekend Club) [the Wam Bam Mix],['The Todd Terry Project'],The Todd Terry Project,6
6ifUZhFHTdlbfMbnZHMr4R,As Acid Turns - Remastered,['Liddell Townsell'],Liddell Townsell,0
5JSxL4r9jZ77K0pIMm217k,Distant Planet - Vocal Mix,['Larry Heard'],Larry Heard,0
4TGnNRiVRHJVE6XyhWy29G,Jigger Watts,['Phortune'],Phortune,2
5Y6M2SWKrHeI2zptDMD7Cc,Circus Bells - Original,['Robert Armani'],Robert Armani,0
2aLXJJ2zOsBJlGTxiG0yMi,Acid Tracks,['Phuture'],Phuture,0
0Zi5c5hWdlyM7c92nK0s6X,Can You Feel The Bass,['Phortune'],Phortune,0
42BJlSs5Uj10MHzTaFarx4,Feel the Mood (Remastered) [with Hot Hands Hula],"['Maurice Joshua', 'Hot Hands Hula']",Maurice Joshua / Hot Hands Hula,0
6MOG2ZNDvNlDgyhFUTLkFL,That Shit's Wild,['Dr. Derelict'],Dr. Derelict,0
1rcF7Pbe9uDmrwa4Sbdns2,Box Energy,['DJ Pierre'],DJ Pierre,0
7ohnm6Z5zI7BwUTIA49u4d,String Free,['Phortune'],Phortune,0
6xInVVhRj1jTWtWUs0UW2z,Bango Acid,['Mike'],Mike,0
0BAyTCUxqILTsEygX8DIpU,Acid Pump Up,['Mr. Lee'],Mr. Lee,0
5utwAiCblRWtJ0iFgf6enr,R U Hot Enough,['Virgo'],Virgo,0
1sF4BQ6SNpyJf3qI18Yk34,I Want You,['Ralphi Rosario'],Ralphi Rosario,0
7tB9afUddCKQpTwU5Zg56x,Bird in a Gilded Cage - Radio Mix,['Jungle Wonz'],Jungle Wonz,0
4R5XpoWJvtUkS33E1lFiSJ,That Shits Wild,['Der Wasaw'],Der Wasaw,6
5HvPR4mRFKQwVpu7GRR9wz,Dream Girl - Wet Dream,"[""Pierre's Phantasy Club""]",Pierre's Phantasy Club,0
7DTiUdHw6qpBnHsfJaET2D,Acid Party - Aciied Groove Mix,['Mr. Matey'],Mr. Matey,6
5Nk6yokDV2LbWOoZdv1Oks,Pump Up the Acid - Hardrock Striker K.O. 12'S Mix,['Michael Oliver'],Michael Oliver,0
4zaf5qzolYOVprALV0NAZ8,The Garden of Eden (A Himalayan Song),['The Garden Of Eden'],The Garden Of Eden,6
557un1HgwYMuqfWGSTmnxw,Single Ladies (Put a Ring on It),['Beyoncé'],Beyoncé,4
49FYlytm3dAAraYgpoJZux,Umbrella,"['Rihanna', 'JAY-Z']",Rihanna / JAY-Z,4
0cqRj7pUJDkTCEsJkx8snD,Shake It Off,['Taylor Swift'],Taylor Swift,4
2gQPv5jvVPqU2a9HhMNO1v,Toxic,['BoyWithUke'],BoyWithUke,5
4OSBTYWVwsQhGLF9NHvIbR,Rolling in the Deep,['Adele'],Adele,6
1yYYny7kfh6kqYfI7SwSmh,Firework,['Katy Perry'],Katy Perry,6
3N4DI1vuTSX1tz7fa2NQZw,Rehab,['Amy Winehouse'],Amy Winehouse,1
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,['The Weeknd'],The Weeknd,4
2BOqDYLOJBiMOXShCV1neZ,Dancing On My Own,['Calum Scott'],Calum Scott,1
2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,['Outkast'],Outkast,6
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),"['Shakira', 'Wyclef Jean']",Shakira / Wyclef Jean,2
0O45fw2L5vsWpdsOdXwNAR,SexyBack (feat. Timbaland),"['Justin Timberlake', 'Timbaland']",Justin Timberlake / Timbaland,6
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),"['Mark Ronson', 'Bruno Mars']",Mark Ronson / Bruno Mars,6
1QV6tiMFM6fSOKOGLMHYYg,Poker Face,['Lady Gaga'],Lady Gaga,6
6KM6693N1wVvz6tDviEF4F,Hollaback Girl,['Gwen Stefani'],Gwen Stefani,6
2EBCVPNAG46nbgs6jXPGvv,Starships,['Nicki Minaj'],Nicki Minaj,6
2dLLR6qlu5UJ5gk0dKz0h3,Royals,['Lorde'],Lorde,1
3E7dfMvvCLUddWissuqMwr,Party In The U.S.A.,['Miley Cyrus'],Miley Cyrus,6
