id,k6_cluster,k10_cluster,title,artists,pp_artist
5Mbz3t8k16WjlDkmXBxmlf,0,5,Seventeen,['Rich Brian'],Rich Brian
4bdJHQp90ymjEIkkYhcENB,2,6,Dat $tick,['Rich Brian'],Rich Brian
79ptYtWnpAnsQutzg2xSFk,2,6,Cave Me In,"['Gallant', 'Tablo', 'Eric Nam']",Gallant / Tablo / Eric Nam
6Xi897JXNLSoIaoYZwgTLc,4,7,Dímelo,"['Snakehips', 'Tory Lanez']",Snakehips / Tory Lanez
0OFMDmL9dfbuNa31cMYdHW,4,7,Act Different,"['Sik-K', 'Mac Kidd']",Sik-K / Mac Kidd
4Z2mXXSzuCDEHZtFGmy0X5,2,6,Rendezvous,['Sik-K'],Sik-K
7tSeCwxEuv5kQWbA3yBHMy,4,9,Born to Lead,['Falling In Reverse'],Falling In Reverse
5EWPGh7jbTNO2wakv8LjUI,2,9,Free Bird,['Lynyrd Skynyrd'],Lynyrd Skynyrd
7AWlVWstGjmTmFZACsVkJL,2,6,Freakshow,['Rone'],Rone
5tFep7dXGd7vEJ668wTPux,0,5,Both (feat. Drake),"['Gucci Mane', 'Drake']",Gucci Mane / Drake
5UShsJdqJLZkl5JNj1ITlP,2,2,DRUGS,['lil aaron'],lil aaron
2PtBhfoPZ6VYtXkrE5FrCH,2,6,Reflections,['MisterWives'],MisterWives
0Zx8khUcEfCFK2AEoIhC92,2,6,Don't Leave,"['Snakehips', 'MØ']",Snakehips / MØ
51NBMjiv4t1nUiLC9Bim3G,2,6,By Your Side,"['Jonas Blue', 'RAYE']",Jonas Blue / RAYE
5eYVjWYsfGUqpkzM9uef7Q,5,0,Hear Me Now,"['Alok', 'Bruno Martini', 'Zeeba']",Alok / Bruno Martini / Zeeba
5mqjkbTgyEzxTQOArWTOs6,2,6,Not Going Home,"['DVBBS', 'CMC$', 'Gia Koka']",DVBBS / CMC$ / Gia Koka
6jq6rcOikCZAmjliAgAmfT,2,9,Light,['San Holo'],San Holo
27zK2lkAiqFw7y113I94H5,2,6,Just Hold On,"['Steve Aoki', 'Louis Tomlinson']",Steve Aoki / Louis Tomlinson
15vzANxN8G9wWfwAJLLMCg,2,6,Paris,['The Chainsmokers'],The Chainsmokers
1VdZ0vKfR5jneCmWIUAMxK,5,0,The A Team,['Ed Sheeran'],Ed Sheeran
7qiZfU4dY1lWllzX7mPBI3,4,7,Shape of You,['Ed Sheeran'],Ed Sheeran
6PCUP3dWmTjcTtXY02oFdT,2,9,Castle on the Hill,['Ed Sheeran'],Ed Sheeran
6mb6lVLNrcUgLnEN8QnDJd,5,0,How Far I'll Go,"[""Auli'i Cravalho""]",Auli'i Cravalho
1h6kgem1ai8vUgO1rZOwfB,2,6,I Don't Like,"['Chief Keef', 'Lil Reese']",Chief Keef / Lil Reese
01Lr5YepbgjXAWR9iOEyH1,4,7,Love Sosa,['Chief Keef'],Chief Keef
2oHM9KAdFdFvDCaE4V6RST,2,6,Hate Bein' Sober,"['Chief Keef', '50 Cent', 'Wiz Khalifa']",Chief Keef / 50 Cent / Wiz Khalifa
2rJvc7nSYWBKAuNUMx1Cr2,4,7,Don't Like.1,"['Kanye West', 'Chief Keef', 'Pusha T', 'Big Sean', 'Jadakiss']",Kanye West / Chief Keef / Pusha T / Big Sean / Jadakiss
7Kbf1qDeDqshPsG2eSonFy,5,0,Gave It All I Got,['Kodak Black'],Kodak Black
788NX6uCNEVuZW8x5BkQqM,0,6,Like Dat,['Kodak Black'],Kodak Black
34oWbFBfGEElvgO0a5c9V4,4,7,No Flockin',['Kodak Black'],Kodak Black
5v7kaZNsnyByrSJOfO8gKq,5,0,Skrt,['Kodak Black'],Kodak Black
72FNf7DAlWLmuHiLTBcNHY,2,6,Hold Back The River,['James Bay'],James Bay
57bgtoPSgt236HzfBOd8kj,2,9,Thunderstruck,['AC/DC'],AC/DC
08mG3Y1vljYA6bvDt4Wqkj,2,9,Back In Black,['AC/DC'],AC/DC
0Z5ok0QLLttAKsujOZYOXf,4,7,Chasing Pavements,['Adele'],Adele
6O5TrlFWTYvznd9fMC0VvU,2,9,When We Were Young,['Adele'],Adele
6U4VqEHy4n5VeiH4pQPL24,0,5,You're Welcome,['Dwayne Johnson'],Dwayne Johnson
6xbraxG0bSBOuAr5IUXmtM,0,5,iSpy (feat. Lil Yachty),"['KYLE', 'Lil Yachty']",KYLE / Lil Yachty
6I6NX6tjGsxFAsIfGzY9lJ,0,5,Deja Vu,['J. Cole'],J. Cole
3MWlVSkoLS1e66nlZ2tuWJ,5,0,For Whom The Bell Tolls,['J. Cole'],J. Cole
5hTpBe8h35rJ67eAWHQsJx,0,5,Caroline,['Aminé'],Aminé
7KxhSJOYiqCDclXDBNlFSZ,4,7,Kill Em With Kindness,['Selena Gomez'],Selena Gomez
7EiZI6JVHllARrX9PUvAdX,5,0,Low Life (feat. The Weeknd),"['Future', 'The Weeknd']",Future / The Weeknd
3V8sM5OOG6YfDuDLa2IIYJ,4,7,Used to This (feat. Drake),"['Future', 'Drake']",Future / Drake
563SfWAHJs4FBZMkRN0IFN,4,7,Send My Love (To Your New Lover),['Adele'],Adele
4PdJSsESm34djLfBde9Pr2,0,2,Would I Lie to You - Radio Edit,"['David Guetta', 'Cedric Gervais', 'Chris Willis']",David Guetta / Cedric Gervais / Chris Willis
19a3JfW8BQwqHWUMbcqSx8,2,9,Famous,['Kanye West'],Kanye West
6s3GEN8wK0OMzzzZbXj0fu,4,7,Hymn for the Weekend - Seeb Remix,"['Coldplay', 'Seeb']",Coldplay / Seeb
1wIQtB3UQ1TfjNMZZqO6eh,0,6,everybody dies,['J. Cole'],J. Cole
0eneujAc4PxkdjP25Gsue1,0,5,False Prophets,['J. Cole'],J. Cole
40yJGQyEaBbIkXpwMFkXip,5,0,One Night,['Lil Yachty'],Lil Yachty
5oyUurs28XRagLa8lgm6V3,4,7,Too Much Sauce (feat. Future & Lil Uzi Vert),"['DJ ESCO', 'Future', 'Lil Uzi Vert']",DJ ESCO / Future / Lil Uzi Vert
4IeStM4M9uQ1X0s4LdSLuC,5,0,(They Long To Be) Close To You,['Carpenters'],Carpenters
25BSBxpCtoDbOpVd7cpqbw,5,0,Stand Tall,['Childish Gambino'],Childish Gambino
6iGPBcdGv5gVGFZiKAGID5,5,8,The Night Me and Your Mama Met,['Childish Gambino'],Childish Gambino
2qbw3lSGERDdUawZ736wmN,1,8,Baby Boy,['Childish Gambino'],Childish Gambino
5MKSl2ZHsImt0wOfBAs87U,1,1,Terrified,['Childish Gambino'],Childish Gambino
6Ik9aiuaoEYxsEKGdQaEJB,0,5,California,['Childish Gambino'],Childish Gambino
0wXuerDYiBnERgIpbb3JBR,2,6,Redbone,['Childish Gambino'],Childish Gambino
3YxunxpAExKBEvhuf7wQOK,2,6,Riot,['Childish Gambino'],Childish Gambino
3rBOkpPCniY6AxOIavGGsg,5,0,Zombies,['Childish Gambino'],Childish Gambino
0SunFlwqT44E0BU0yrgM7u,2,6,Boogieman,['Childish Gambino'],Childish Gambino
31tf1qEai5o5f4r66Kd0pU,5,8,Me and Your Mama,['Childish Gambino'],Childish Gambino
3baESV24ilV6meyqLUh0WU,2,2,Have Some Love,['Childish Gambino'],Childish Gambino
43jBqV3j3Xi1g6wO0bhIMd,4,7,Now and Later,['Sage The Gemini'],Sage The Gemini
52qH79XktzCUPkN0dlRbUs,2,6,You & Me,"['Marc E. Bassy', 'G-Eazy']",Marc E. Bassy / G-Eazy
28kwfhqP0K1f6ll0lpHg45,2,6,Words,['Daya'],Daya
2DRMuw0U0QbkVQxWxdJV3M,4,7,Water Under the Bridge,['Adele'],Adele
2s0Dn2mtvp94wUkyaB8nJc,4,7,in my miNd,['Maty Noyes'],Maty Noyes
0hNduWmlWmEmuwEFcYvRu1,1,1,Sunset Lover,['Petit Biscuit'],Petit Biscuit
2PC9Tl8SWVO2yhDDtJcrAi,4,7,Setting Fires,"['The Chainsmokers', 'XYLØ']",The Chainsmokers / XYLØ
3TRFq09DUgYj1mug6RRqJW,2,6,Lot to Learn,['Luke Christopher'],Luke Christopher
0dXNQ8dckG4eYfEtq9zcva,2,9,All Night,"['The Vamps', 'Matoma']",The Vamps / Matoma
3oXo5b276GoNWN3DODNIU1,2,6,Safe,['Bay Ledges'],Bay Ledges
3Ad7e4EdSpnjdLwHVucDyC,2,6,Good Luck,['The Undercover Dream Lovers'],The Undercover Dream Lovers
7HMpoLpRzfnX1zbhOQBFUw,4,7,Do You,['Noah Carter'],Noah Carter
4riDfclV7kPDT9D58FpmHd,2,6,Some,['Steve Lacy'],Steve Lacy
0FZULbfjTHVmm1x3zZ2ghI,4,7,Tidepools,['Kevin Blu'],Kevin Blu
4NmWUWHsglLlJXvq1pGNsk,0,5,Easy Street (feat. Jim Bianco & Petra Haden),"['The Collapsable Hearts Club', 'Jim Bianco', 'Petra Haden']",The Collapsable Hearts Club / Jim Bianco / Petra Haden
0hy48SusJtyhy4DNB2rEaS,2,6,Cringe,['Matt Maeson'],Matt Maeson
0KKkJNfGyhkQ5aFogxQAPU,2,6,That's What I Like,['Bruno Mars'],Bruno Mars
7fJozqj7NMdvo0zkcXDbgg,4,7,Area,['MagnusTheMagnus'],MagnusTheMagnus
4aJtCSNlGhw3TgMqL7rbLu,4,7,Swing Right Back,['Lif'],Lif
1ZX8uNsvwzdDoszb0UCBnM,2,9,"In My Foreign (feat. Ty Dolla $ign, Lil Yachty, Nicky Jam & French Montana)","['The Americanos', 'Ty Dolla $ign', 'Lil Yachty', 'Nicky Jam', 'French Montana']",The Americanos / Ty Dolla $ign / Lil Yachty / Nicky Jam / French Montana
5w3CRkbTWXfbYepIdFpGUN,2,6,On Hold,['The xx'],The xx
7JKdB79MjDgH9GE72AChkY,4,7,Fall for You,"['Christian French', 'Triegy']",Christian French / Triegy
6HEIBHUirx1J0JkUD24szt,0,5,Water,['Ugly God'],Ugly God
6hQSeh599ce59TGCd8Rn4X,0,5,Automatic,['Superfeel'],Superfeel
0j2WBxWZnWti5TpSxjJvPb,5,0,Love on the Weekend,['John Mayer'],John Mayer
6AT4y0b1kkJmY6rvicSMEw,5,8,Till You Let Go,['Max Future'],Max Future
4G9addS7Yq5ihZBQLXG2Mj,5,0,I Don't Know My Name,['Grace VanderWaal'],Grace VanderWaal
20dP2DaMHIAmwWAbp7peSr,4,7,pick up the phone,"['Young Thug', 'Travis Scott']",Young Thug / Travis Scott
5uCax9HTNlzGybIStD3vDh,5,0,Say You Won't Let Go,['James Arthur'],James Arthur
4gmmRb6bZJffOOiww1JGTO,0,5,No Heart,"['21 Savage', 'Metro Boomin']",21 Savage / Metro Boomin
4Km5HrUvYTaSUfiSGPJeQR,0,5,Bad and Boujee (feat. Lil Uzi Vert),"['Migos', 'Lil Uzi Vert']",Migos / Lil Uzi Vert
15k2nBQJ0teDmPZHrOXL2N,4,7,Ordinary Life,['The Weeknd'],The Weeknd
1E43TJhKcM8hXgM958ROQ1,4,7,Love To Lay,['The Weeknd'],The Weeknd
6pDVjCUA3B1vg9waKutAsv,5,0,Attention,['The Weeknd'],The Weeknd
0ifooM33X1iBxVYyOkSbXW,4,7,A Lonely Night,['The Weeknd'],The Weeknd
1vvNmPOiUuyCbgWmtc6yfm,4,7,My Way,['Calvin Harris'],Calvin Harris
2K9OuOMhtNGtbbqQhALv8i,4,7,Ain't My Fault,['Zara Larsson'],Zara Larsson
1oGdVdYjeQvojGKDddxLQQ,0,5,True Colors,['The Weeknd'],The Weeknd
7MXVkk9YMctZqd1Srtv4MB,0,5,Starboy,"['The Weeknd', 'Daft Punk']",The Weeknd / Daft Punk
37F0uwRSrdzkBiuj0D5UHI,0,5,Reminder,['The Weeknd'],The Weeknd
4h90qkbnW1Qq6pBhoPvwko,4,7,Sidewalks,"['The Weeknd', 'Kendrick Lamar']",The Weeknd / Kendrick Lamar
1WkMMavIMc4JZ8cfMmxHkI,2,6,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",['Justin Timberlake'],Justin Timberlake
7yyRTcZmCiyzzJlNzGC9Ol,2,6,Broccoli (feat. Lil Yachty),"['Shelley FKA DRAM', 'Lil Yachty']",Shelley FKA DRAM / Lil Yachty
4F7A0DXBrmUAkp32uenhZt,2,6,Party Monster,['The Weeknd'],The Weeknd
0AS63m1wHv9n4VVRizK6Hc,4,7,Mercy,['Shawn Mendes'],Shawn Mendes
6b8Be6ljOzmkOmFslEb23P,2,6,24K Magic,['Bruno Mars'],Bruno Mars
32lgtADX2cB9I4KFs1Y1py,4,9,False Alarm,['The Weeknd'],The Weeknd
5knuzwU65gJK7IF5yJsuaW,4,7,Rockabye (feat. Sean Paul & Anne-Marie),"['Clean Bandit', 'Sean Paul', 'Anne-Marie']",Clean Bandit / Sean Paul / Anne-Marie
33cYcQm6naYAywTtdnrdxP,2,6,Call On Me - Ryan Riback Remix,"['Starley', 'Ryan Riback']",Starley / Ryan Riback
5o3GnrcFtvkdf3zFznuSbA,2,6,Don't Wanna Know (feat. Kendrick Lamar),"['Maroon 5', 'Kendrick Lamar']",Maroon 5 / Kendrick Lamar
6fujklziTHa8uoM5OQSfIo,2,6,Black Beatles,"['Rae Sremmurd', 'Gucci Mane']",Rae Sremmurd / Gucci Mane
0KQxxHsCWjLsYluY5PefId,4,7,NOBODY,['lil aaron'],lil aaron
4B31QOL13iBeuIsaGD20BS,2,6,Pre (feat. SK La' Flare),"['Earl Sweatshirt', 'Sk La Flare']",Earl Sweatshirt / Sk La Flare
43tVqovviXhkmOV5LOkTn7,0,5,Burgundy (feat. Vince Staples),"['Earl Sweatshirt', 'Vince Staples']",Earl Sweatshirt / Vince Staples
0yNecIrNLTIsF5ULCraPgl,0,5,20 Wave Caps (feat. Domo Genesis),"['Earl Sweatshirt', 'Domo Genesis']",Earl Sweatshirt / Domo Genesis
0fAehaneUJdlSlWXYe1KZp,0,6,Sunday (feat. Frank Ocean),"['Earl Sweatshirt', 'Frank Ocean']",Earl Sweatshirt / Frank Ocean
6JKoTnberZoBgUuxa6l4Kh,0,5,Hive (feat. Vince Staples & Casey Veggies),"['Earl Sweatshirt', 'Vince Staples', 'Casey Veggies']",Earl Sweatshirt / Vince Staples / Casey Veggies
5BikEzeYYFtRvR1CL1UTRg,0,2,"Sasquatch (feat. Tyler, The Creator)","['Earl Sweatshirt', 'Tyler, The Creator']","Earl Sweatshirt / Tyler, The Creator"
6mrRJpEOqNEKygu4fesH1e,0,5,Centurion (feat. Vince Staples),"['Earl Sweatshirt', 'Vince Staples']",Earl Sweatshirt / Vince Staples
1MqC1CyfmBiEgauT4sqhSE,3,4,523,['Earl Sweatshirt'],Earl Sweatshirt
76wXoUkBme6E5yPhXv6zfR,0,5,Uncle Al,['Earl Sweatshirt'],Earl Sweatshirt
7y6EHdn8KFJUD2F6zWNWhZ,0,5,Guild (feat. Mac Miller),"['Earl Sweatshirt', 'Mac Miller']",Earl Sweatshirt / Mac Miller
7lhkOb0VNnTlshwifCEoSr,0,5,Molasses (feat. RZA),"['Earl Sweatshirt', 'RZA']",Earl Sweatshirt / RZA
1rW2nkUbmKD2MC22YrU8cX,0,5,"Whoa (feat. Tyler, The Creator)","['Earl Sweatshirt', 'Tyler, The Creator']","Earl Sweatshirt / Tyler, The Creator"
49aTv96mDjvlDb74XvVSc9,0,5,Hoarse,['Earl Sweatshirt'],Earl Sweatshirt
2LbL1HaoZrXrCR538uxUjl,0,5,Knight (feat. Domo Genesis),"['Earl Sweatshirt', 'Domo Genesis']",Earl Sweatshirt / Domo Genesis
6plT7nFGiXKSBP9HFSI4ef,4,5,Chum,['Earl Sweatshirt'],Earl Sweatshirt
1gmu96SrVjbwnleHVNpiod,2,6,Sweater,['OBB'],OBB
2rqUblDWJKlMVwh9uJc0Vv,0,5,Yamborghini High (feat. Juicy J),"['A$AP Mob', 'Juicy J']",A$AP Mob / Juicy J
4lKqLeuZN7EOp9IjFBuB60,0,6,Bling Blaww Burr (feat. Young Dolph),"['Gucci Mane', 'Young Dolph']",Gucci Mane / Young Dolph
6JvHYmanlC8FdbeiCztcrR,0,5,Campaign (feat. Future),"['Ty Dolla $ign', 'Future']",Ty Dolla $ign / Future
7msCKNrI0vZw9H4MIgLnAh,5,8,Don't Be A Fool,['Shawn Mendes'],Shawn Mendes
3QGsuHI8jO1Rx4JWLUh9jd,0,5,Treat You Better,['Shawn Mendes'],Shawn Mendes
2MHCiOohBZEQuLgDTPvSzF,2,6,Love on Me,"['Galantis', 'Hook N Sling']",Galantis / Hook N Sling
099NgYQditsnMhePFr61Fl,2,6,Spacin Out,"[""The Mowgli's""]",The Mowgli's
0wAbE8PmaALSdGEpfOuk6J,2,6,So What,"[""The Mowgli's""]",The Mowgli's
6YzO1Ndf7fbyPo4njTTAur,2,9,Automatic,"[""The Mowgli's""]",The Mowgli's
2YlWk2pdedpxI8sLNKJ5zY,0,5,Cool,['Daya'],Daya
2rizacJSyD9S1IQUxUxnsK,2,6,All We Know,"['The Chainsmokers', 'Phoebe Ryan']",The Chainsmokers / Phoebe Ryan
2zM1k4PnL573ayLHqpQaQN,0,5,Drug Dealer (feat. Ariana DeBoo),"['Macklemore', 'Ariana DeBoo']",Macklemore / Ariana DeBoo
2dDGwvUJFRNRgB6p4AQV50,0,2,Front & Center,['Joey Bada$$'],Joey Bada$$
19cVww3dRYFzVvslJu2NtL,4,7,Get Right,['Jimmy Eat World'],Jimmy Eat World
6GG2tkV9PRYGN5rniXPFXZ,2,6,Cash Machine,['Shelley FKA DRAM'],Shelley FKA DRAM
77dBKEJtA1KqAmAE6cn4zM,2,9,Workaholic,['Shelley FKA DRAM'],Shelley FKA DRAM
7isbPMomU1kbgaNKOFocGJ,2,6,One Time Comin',['YG'],YG
4ckuS4Nj4FZ7i3Def3Br8W,0,6,Sneakin’,"['Drake', '21 Savage']",Drake / 21 Savage
0NTLc38M2fPfeA9nFnI8HJ,0,5,Yamborghini High (feat. Juicy J),"['A$AP Mob', 'Juicy J']",A$AP Mob / Juicy J
7Kqd2BlcjYzDjzYjrXXR3x,2,2,GLOING PAIN$,['lil aaron'],lil aaron
2x4myYXKCCJilThhh99Toq,4,7,This Town - Tiёsto Remix,"['Niall Horan', 'Tiësto']",Niall Horan / Tiësto
7cNhrHKHu6nKTG3hAXI5gz,4,2,"Dragon Soul (from ""Dragon Ball Z Kai"")",['NateWantsToBattle'],NateWantsToBattle
4jep6dMPP0z7HrN375InoL,3,4,Première Gymnopédie,"['Erik Satie', 'Alexandre Tharaud']",Erik Satie / Alexandre Tharaud
0H0vPgfSGvt3g4X4Fnmr2N,5,0,Don't Beg,['JAHKOY'],JAHKOY
1DiJsj5a4zBzWSUWdg2nTv,0,5,Campaign Speech,['Eminem'],Eminem
0R12GQVU6fmV9ibEvQyxyX,4,7,All In,"['Jay Prince', 'Raheaven']",Jay Prince / Raheaven
4culHtQRLg5h9ZuLayEQJZ,0,6,Go East,['Jay Prince'],Jay Prince
5mSJgLW43dmFEMK50ECr0S,2,2,"Father, Father",['Jay Prince'],Jay Prince
3gY3fTkff4VmZ2XfvU6N4l,2,9,home (feat. johnny yukon),"['Garrett Nash', 'Johnny Yukon']",Garrett Nash / Johnny Yukon
